Image,Link,Product_Name,Price
"<img alt='XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey' class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/615956/1.jpg?0358"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/xiaomi-redmi-10a-6.53-3gb64gb-13.0mp-5000mah-4g-lte-dual-sim-graphite-grey-65951626.html,"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey","KSh 13,599"
"<img alt='XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey' class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/615956/1.jpg?0358"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/xiaomi-redmi-10a-6.53-3gb64gb-13.0mp-5000mah-4g-lte-dual-sim-graphite-grey-65951626.html,"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey","KSh 13,599"
"<img alt='XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey' class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/615956/1.jpg?0358"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/xiaomi-redmi-10a-6.53-3gb64gb-13.0mp-5000mah-4g-lte-dual-sim-graphite-grey-65951626.html,"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey","KSh 13,599"
"<img alt=""Apple IPhone 5S 16GB 4inch 4G LTE 8MP Fingerprint 95% New Refurbished IOS Smartphone"" class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/882972/1.jpg?1231"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/apple-iphone-5s-16gb-4inch-4g-lte-8mp-fingerprint-95-new-refurbished-ios-smartphone-27928862.html,Apple IPhone 5S 16GB 4inch 4G LTE 8MP Fingerprint 95% New Refurbished IOS Smartphone,"KSh 9,880"
"<img alt='Nokia 105//2019// (Dual SIM)//1.77""//RAM 4MB//FM RADIO //Black' class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/732534/1.jpg?2224"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/105-2019-dual-sim-1.77-ram-4mb-fm-radio-black-nokia-mpg226531.html,"Nokia 105//2019// (Dual SIM)//1.77""//RAM 4MB//FM RADIO //Black","KSh 1,475"
"<img alt=""Blackview Tab6 32+3GB 5580mAh Two Sim Card Ultra-thin New Tablet 8 Inch-Grey"" class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/567975/1.jpg?7586"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/blackview-tab6-323gb-5580mah-two-sim-card-ultra-thin-new-tablet-8-inch-grey-57976532.html,Blackview Tab6 32+3GB 5580mAh Two Sim Card Ultra-thin New Tablet 8 Inch-Grey,"KSh 13,932"
"<img alt=""Edifier X3 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IPX5 Waterproof"" class=""img"" data-lazy="""" data-src=""https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/043293/1.jpg?0313"" height=""185"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"" width=""185""/>",/edifier-x3-wireless-headphone-bluetooth-5.0-headset-earpiecenoise-cancellingtouch-controipx5-waterproof-39234025.html,"Edifier X3 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IPX5 Waterproof","KSh 2,085"
